date,consumer_sentiment,core_pce_inf,unemployment,cbo_unemployment,core_pce_real,interest
1990-01-01,-4.900000000000006,3.554443053817314,5.3,5.88,3.628883317719305,8.23
1990-02-01,-5.900000000000006,3.796203796203837,5.3,,3.419743290841977,8.24
1990-03-01,-3.0,4.058764940239084,5.2,,3.4197432908419843,8.28
1990-04-01,2.4000000000000057,4.132539091586031,5.4,5.87,2.5997651478026023,8.26
1990-05-01,-0.10000000000000853,4.219774780348985,5.3,,2.702570523702207,8.18
1990-06-01,-2.299999999999997,4.40631942730193,5.2,,2.600277126766243,8.29
1990-07-01,-3.799999999999997,4.432405811376524,5.5,5.86,2.4980856156837965,8.15
1990-08-01,-13.199999999999989,4.746096151481636,5.6,,1.3806634731936964,8.13
1990-09-01,-23.0,4.713516160626853,5.7,,1.787814732122186,8.2
1990-10-01,-30.000000000000007,4.63075798196443,5.7,5.84,1.3806634731936938,8.11
1990-11-01,-24.900000000000006,4.482507288629759,5.9,,1.3806634731936878,7.81
1990-12-01,-25.0,4.395205230657466,6.1,,0.6731214549361172,7.31
1991-01-01,-26.200000000000003,4.798162919990341,6.2,5.82,-2.2878527055031928,6.91
1991-02-01,-19.099999999999994,4.692011549566897,6.5,,-0.21307505819840136,6.25
1991-03-01,-3.5999999999999943,4.367073462550853,6.8,,0.4833441587433897,6.12
1991-04-01,-12.100000000000009,4.206888332737438,6.6,5.79,0.0818123139532164,5.91
1991-05-01,-12.299999999999997,4.262645452386591,6.9,,-0.018369680355049194,5.78
1991-06-01,-6.200000000000003,4.031209362808815,7.0,,-0.01836968035504632,5.9
1991-07-01,-5.299999999999997,4.020278236265019,6.8,5.77,0.1809954847888248,5.82
1991-08-01,5.599999999999994,3.8854325625073174,6.8,,0.3817590027944115,5.66
1991-09-01,10.200000000000003,3.928446159242355,6.7,,0.4821407617971972,5.45
1991-10-01,14.399999999999999,3.796878639645942,6.8,5.74,0.5830264452929735,5.21
1991-11-01,3.0999999999999943,3.929775607487516,6.8,,1.0864449960702136,4.81
1991-12-01,2.700000000000003,4.047784736720041,7.1,,2.1013691426171026,4.43
1992-01-01,0.7000000000000028,3.9095836697036392,7.1,5.71,4.576553849104805,4.03
1992-02-01,-1.6000000000000085,3.918639393242992,7.3,,3.9553069945556634,4.06
1992-03-01,-11.700000000000003,3.989453169781074,7.3,,2.720194436204507,3.98
1992-04-01,-4.599999999999994,4.037053979871965,7.2,5.68,3.0292822830536754,3.73
1992-05-01,0.9000000000000057,3.780890559161866,7.5,,3.95840406716938,3.82
1992-06-01,-1.6999999999999886,3.6818181818182305,7.8,,4.165698990533615,3.76
1992-07-01,-6.300000000000011,3.8648985605803463,7.7,5.64,3.854756605487246,3.25
1992-08-01,-5.900000000000006,3.141242937853155,7.6,,4.270175631909189,3.3
1992-09-01,-7.400000000000006,3.3187085161435776,7.5,,4.6868396703983315,3.22
1992-10-01,-5.0,3.4560143626571147,7.4,5.61,5.421852586840459,3.1
1992-11-01,16.200000000000003,3.322519297460582,7.2,,5.001845206016401,3.09
1992-12-01,22.799999999999997,3.087727120722331,7.3,,5.31497198098464,2.92
1993-01-01,21.799999999999997,2.9300776914539077,7.1,5.58,4.068640951623873,3.02
1993-02-01,17.799999999999997,2.7866858343469687,7.0,,3.1357547279539366,3.03
1993-03-01,9.900000000000006,2.6678425752397437,7.0,,3.1357547279539335,3.07
1993-04-01,8.399999999999991,2.6712102891062677,7.0,5.54,4.167112275233469,2.96
1993-05-01,1.0999999999999943,2.809173707889791,6.9,,3.8567832416429164,3.0
1993-06-01,1.0999999999999943,2.7181060938184594,7.0,,3.650103075987904,3.04
1993-07-01,0.4000000000000057,2.4334351811435626,6.8,5.51,3.9604327259160033,3.06
1993-08-01,1.2000000000000028,3.0127081507448943,6.7,,3.5462477349761055,3.03
1993-09-01,2.3000000000000114,2.5261324041811206,6.7,,3.5462477349761046,3.09
1993-10-01,9.400000000000006,2.3752711496745618,6.8,5.48,3.4431140220926424,2.99
1993-11-01,-4.099999999999994,2.457773928107339,6.4,,3.856886478181012,3.02
